@RELATION movie
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE awardedDirector {0,1}
@ATTRIBUTE oscarDirector {0,1}
@ATTRIBUTE awardedActor {0,1}
@ATTRIBUTE oscarActor {0,1}
@ATTRIBUTE genre {Drama,Horror,Action,Comedy,Others}
@ATTRIBUTE certificate {R, PG_13, PG, NOT_RATED}
@ATTRIBUTE rating {Bad,Regular,Good}
@DATA
0,0,0,0,0,Action,NOT_RATED,Bad
140,0,0,0,0,Action,NOT_RATED,Bad
97,0,0,1,0,Action,PG_13,Regular
106,0,0,1,0,Action,PG,Regular
113,0,0,1,0,Action,R,Regular
131,0,0,1,0,Action,PG_13,Regular
124,0,0,1,0,Drama,PG_13,Regular
132,0,0,1,0,Drama,PG_13,Good
130,0,0,1,0,Action,PG,Regular
99,0,0,1,0,Drama,R,Regular
104,0,0,1,0,Others,NOT_RATED,Good
106,0,0,1,0,Action,PG_13,Regular
107,0,0,1,1,Action,R,Regular
97,0,0,1,0,Action,R,Regular
118,0,0,1,0,Drama,R,Regular
116,0,0,1,0,Action,PG_13,Regular
100,0,0,0,0,Action,R,Regular
98,0,0,1,0,Others,PG,Good
125,0,0,1,0,Action,PG_13,Regular
96,0,0,1,0,Action,PG_13,Regular
98,1,0,1,0,Comedy,PG_13,Good
92,0,0,1,0,Horror,R,Bad
89,0,0,1,0,Comedy,R,Regular
104,0,0,1,0,Drama,R,Regular
116,0,0,1,0,Drama,R,Good
96,0,0,1,0,Drama,NOT_RATED,Good
106,0,0,1,0,Action,R,Good
92,0,0,0,0,Comedy,R,Regular
90,0,0,1,0,Drama,R,Regular
104,0,0,1,0,Drama,R,Good
131,0,0,1,0,Action,R,Good
105,0,0,1,0,Drama,R,Regular
114,0,0,1,0,Action,PG_13,Regular
114,0,0,1,0,Drama,NOT_RATED,Regular
91,0,0,1,0,Action,R,Regular
100,0,0,1,0,Action,PG_13,Regular
137,0,0,1,0,Others,PG,Good
102,0,0,1,0,Others,PG,Regular
111,0,0,1,0,Comedy,R,Regular
91,0,0,1,0,Action,R,Regular
111,0,0,1,0,Drama,PG_13,Regular
105,0,0,1,0,Horror,NOT_RATED,Regular
100,0,0,1,0,Comedy,R,Regular
112,0,0,1,0,Drama,R,Regular
96,0,0,1,0,Horror,R,Regular
101,0,0,1,0,Action,R,Good
86,0,0,1,0,Comedy,PG_13,Bad
113,0,0,1,0,Comedy,PG_13,Good
91,0,0,1,0,Drama,R,Regular
109,0,0,1,0,Drama,R,Good
97,0,0,1,0,Comedy,R,Regular
115,0,0,1,0,Comedy,R,Good
90,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Drama,NOT_RATED,Bad
120,0,0,0,0,Action,NOT_RATED,Bad
116,0,0,1,0,Drama,NOT_RATED,Bad
106,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
105,0,0,1,0,Horror,NOT_RATED,Bad
83,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Drama,NOT_RATED,Bad
80,0,0,0,0,Action,PG_13,Bad
88,0,0,0,0,Action,NOT_RATED,Bad
88,0,0,1,0,Action,NOT_RATED,Bad
83,0,0,1,0,Comedy,R,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
158,0,0,1,0,Comedy,NOT_RATED,Bad
72,0,0,0,0,Comedy,NOT_RATED,Bad
90,0,0,0,0,Drama,NOT_RATED,Bad
90,0,0,0,0,Drama,NOT_RATED,Bad
82,0,0,0,0,Action,NOT_RATED,Bad
109,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
84,0,0,1,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Others,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
90,0,0,0,0,Drama,NOT_RATED,Bad
0,0,0,1,0,Drama,NOT_RATED,Bad
82,0,0,0,0,Comedy,NOT_RATED,Bad
80,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,0,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
82,0,0,0,0,Horror,NOT_RATED,Bad
95,0,0,0,0,Horror,NOT_RATED,Bad
87,0,0,0,0,Action,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,0,0,Action,NOT_RATED,Bad
70,0,0,0,0,Horror,NOT_RATED,Bad
133,0,0,0,0,Comedy,NOT_RATED,Bad
85,0,0,1,0,Drama,NOT_RATED,Bad
75,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Comedy,R,Bad
96,0,0,0,0,Horror,NOT_RATED,Bad
110,0,0,0,0,Action,NOT_RATED,Bad
105,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Horror,R,Bad
81,0,0,0,0,Others,NOT_RATED,Bad
90,0,0,1,0,Action,NOT_RATED,Bad
113,0,0,1,0,Comedy,PG_13,Regular
107,0,0,1,0,Drama,R,Regular
90,0,0,1,1,Comedy,R,Regular
95,0,0,1,0,Comedy,R,Good
104,0,0,1,0,Comedy,R,Regular
90,0,0,1,0,Action,R,Regular
91,0,0,1,0,Others,PG,Regular
123,0,0,1,0,Comedy,R,Regular
116,0,0,1,0,Drama,PG_13,Regular
93,0,0,1,0,Drama,R,Regular
99,0,0,1,0,Drama,R,Regular
93,0,0,1,0,Comedy,R,Regular
118,0,0,1,0,Drama,PG_13,Regular
95,0,0,1,0,Drama,NOT_RATED,Regular
95,0,0,1,0,Action,NOT_RATED,Regular
120,0,0,1,0,Drama,R,Regular
96,0,0,1,0,Drama,R,Good
93,0,0,1,0,Comedy,R,Regular
112,0,0,1,0,Comedy,NOT_RATED,Regular
98,0,0,1,0,Drama,PG_13,Good
109,0,0,1,0,Action,R,Regular
94,0,0,1,0,Action,R,Regular
142,0,0,1,0,Comedy,NOT_RATED,Good
112,0,0,1,0,Action,PG_13,Good
98,0,0,1,0,Action,R,Regular
95,0,0,1,0,Horror,R,Regular
112,0,0,1,0,Drama,R,Regular
127,0,0,1,0,Action,R,Regular
92,0,0,1,0,Comedy,R,Regular
95,0,0,1,0,Others,PG,Regular
97,0,0,1,0,Horror,PG_13,Regular
128,0,0,1,0,Drama,PG_13,Good
105,0,0,1,0,Action,R,Regular
118,0,0,1,0,Action,R,Regular
106,0,0,1,0,Drama,PG_13,Regular
87,0,0,1,0,Others,PG,Regular
82,0,0,1,0,Drama,PG_13,Good
94,0,0,1,0,Comedy,PG_13,Regular
90,0,0,1,0,Comedy,R,Regular
128,0,0,1,0,Drama,R,Regular
93,0,0,1,0,Comedy,PG_13,Good
100,0,0,1,0,Action,R,Regular
92,0,0,1,0,Horror,NOT_RATED,Bad
96,0,0,1,0,Others,PG,Regular
126,0,0,1,0,Others,PG_13,Good
118,0,0,1,0,Action,R,Regular
98,0,0,1,0,Drama,R,Regular
89,0,0,1,0,Comedy,R,Regular
89,0,0,1,0,Horror,R,Regular
100,0,0,1,0,Comedy,PG_13,Regular
0,0,0,1,0,Comedy,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
70,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Horror,R,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,0,0,Horror,NOT_RATED,Bad
82,0,0,1,0,Others,NOT_RATED,Bad
0,0,0,1,0,Drama,NOT_RATED,Bad
92,0,0,0,0,Horror,NOT_RATED,Bad
0,0,0,1,0,Action,NOT_RATED,Bad
82,0,0,1,0,Comedy,NOT_RATED,Bad
